,Buy & Hold,SMA 20/60 crossover,RSI reversion (30/60)
2024-06-27,22230.19220853985,14606.942871608115,10446.893455565782
2024-06-28,21769.556708508728,14585.037397156173,10230.42164346747
2024-06-29,21970.88277065133,14585.037397156173,10325.033147556238
2024-06-30,22614.060529088532,14585.037397156173,10627.289171811479
2024-07-01,22660.166229169074,14585.037397156173,10648.956161098717
2024-07-02,22384.742492447902,14585.037397156173,10519.523072726475
2024-07-03,21690.566742891762,14585.037397156173,10193.300967806275
2024-07-04,20552.669562837098,14585.037397156173,9658.555676721784
2024-07-05,20400.922078949574,14585.037397156173,9587.243212058784
2024-07-06,20977.816138700895,14585.037397156173,9858.34976484224
2024-07-07,20123.171081542976,14585.037397156173,9456.716446933959
2024-07-08,20431.842943443346,14585.037397156173,9601.77421448513
2024-07-09,20912.923032313116,14585.037397156173,9827.853790625095
2024-07-10,20796.145702409165,14585.037397156173,9772.975258218012
2024-07-11,20657.10088288201,14585.037397156173,9707.632304746356
2024-07-12,20854.957669420794,14585.037397156173,9800.613451694662
2024-07-13,21328.66689859649,14585.037397156173,10023.229153785423
2024-07-14,21902.87704316107,14585.037397156173,10293.074423007465
2024-07-15,23317.32916714313,14585.037397156173,10957.78440385787
2024-07-16,23432.557391637278,14585.037397156173,10941.339682468937
2024-07-17,23088.151630760596,14585.037397156173,10941.339682468937
2024-07-18,23052.10070556088,14585.037397156173,10941.339682468937
2024-07-19,24014.736422635528,14585.037397156173,10941.339682468937
2024-07-20,24187.64540693508,14585.037397156173,10941.339682468937
2024-07-21,24557.045803470362,14585.037397156173,10941.339682468937
2024-07-22,24328.884192031,14585.037397156173,10941.339682468937
2024-07-23,23753.913905044406,14585.037397156173,10941.339682468937
2024-07-24,23552.166342127515,14585.037397156173,10941.339682468937
2024-07-25,23704.897327821727,14585.037397156173,10941.339682468937
2024-07-26,24464.333645979135,14585.037397156173,10941.339682468937
2024-07-27,24460.194292221317,14585.037397156173,10941.339682468937
2024-07-28,24587.501936341196,14585.037397156173,10941.339682468937
2024-07-29,24059.656876949033,14585.037397156173,10941.339682468937
2024-07-30,23844.695084629468,14433.05780927786,10941.339682468937
2024-07-31,23282.694052236555,14092.881792742031,10941.339682468937
2024-08-01,23544.247891683928,14251.198838591608,10941.339682468937
2024-08-02,22155.208301564042,13410.42110449095,10941.339682468937
2024-08-03,21866.880156522155,13235.897724315124,10941.339682468937
2024-08-04,20952.911567310304,12682.677754961771,10941.339682468937
2024-08-05,19460.658326049026,11779.42538705501,10941.339682468937
2024-08-06,20182.325292773054,12216.246282134865,11330.067314135182
2024-08-07,19862.47105135636,12022.640335800676,11150.505740659777
2024-08-08,22222.814143704334,13451.342534787816,12475.568424607929
2024-08-09,21917.3161466087,13266.426341183724,12304.066240334523
2024-08-10,21948.125331410138,13285.07496485946,12321.362073823982
2024-08-11,21151.62576568056,12802.958324808564,11874.218666685114
2024-08-12,21380.046762211798,12941.220249990962,12002.450930763596
2024-08-13,21826.949262656497,12921.814890226102,12253.335570637422
2024-08-14,21141.1062591768,12921.814890226102,11868.313166943624
2024-08-15,20729.57379806565,12921.814890226102,11637.28475873485
2024-08-16,21209.991013922856,12921.814890226102,11906.984078093292
2024-08-17,21432.41012763379,12921.814890226102,12031.846971428855
2024-08-18,21048.866038449953,12921.814890226102,11816.530832908998
2024-08-19,21413.139976850012,12921.814890226102,12021.028985772271
2024-08-20,21260.138798351763,12921.814890226102,11935.136323436285
2024-08-21,22031.892305802445,12921.814890226102,12368.387649162723
2024-08-22,21750.823340762297,12921.814890226102,12210.599572336934
2024-08-23,23069.868584354223,12921.814890226102,12951.09261184006
2024-08-24,23113.016573873265,12921.814890226102,12975.315272937261
2024-08-25,23135.709166841487,12921.814890226102,12988.05456844125
2024-08-26,22636.392864984708,12921.814890226102,12707.745573862308
2024-08-27,21404.673935656912,12921.814890226102,12016.276271939223
2024-08-28,21267.74022257195,12921.814890226102,11939.403653728938
2024-08-29,21384.503142193018,12921.814890226102,12004.952678428057
2024-08-30,21299.83552512059,12921.814890226102,11957.421495234736
2024-08-31,21245.79696431358,12921.814890226102,11927.085023959959
2024-09-01,20643.40030643207,12921.814890226102,11588.908199208672
2024-09-02,21302.768017687053,12921.814890226102,11959.067754409247
2024-09-03,20710.361288413398,12921.814890226102,11626.499131980958
2024-09-04,20884.42669791422,12921.814890226102,11724.216950819851
2024-09-05,20239.242307585715,12921.814890226102,11362.019708113196
2024-09-06,19440.54157114594,12921.814890226102,10913.640595377734
2024-09-07,19511.832843133267,12921.814890226102,10953.662490714838
2024-09-08,19767.287530350888,12921.814890226102,11097.071080156384
2024-09-09,20549.783903690004,12921.814890226102,11536.353296372248
2024-09-10,20763.773001915044,12921.814890226102,11656.483700188946
2024-09-11,20656.419997015837,12921.814890226102,11596.217266354475
2024-09-12,20942.579394484004,12921.814890226102,11756.863038774349
2024-09-13,21794.83234468353,12921.814890226102,12235.305594543113
2024-09-14,21612.91333101209,12921.814890226102,12133.178875212285
2024-09-15,21302.721184267684,12921.814890226102,11959.04146280081
2024-09-16,20972.00158955806,12921.814890226102,11773.380236167755
2024-09-17,21728.54144085621,12921.814890226102,12198.090834014634
2024-09-18,22249.47316703579,12921.814890226102,12490.534417103487
2024-09-19,22677.458568627317,12921.814890226102,12730.79926959972
2024-09-20,22768.625223279465,12921.814890226102,12711.71145549374
2024-09-21,22821.910846805895,12921.814890226102,12711.71145549374
2024-09-22,22904.697921962237,12921.814890226102,12711.71145549374
2024-09-23,22818.679340869636,12921.814890226102,12711.71145549374
2024-09-24,23151.09214381788,12921.814890226102,12711.71145549374
2024-09-25,22750.958216466293,12921.814890226102,12711.71145549374
2024-09-26,23479.39081100335,12921.814890226102,12711.71145549374
2024-09-27,23694.089615660327,13020.423571464102,12711.71145549374
2024-09-28,23725.810250854043,13037.854758434252,12711.71145549374
2024-09-29,23633.588042980795,12987.1766260948,12711.71145549374
2024-09-30,22814.212153176257,12536.911546382722,12711.71145549374
2024-10-01,21905.712266318074,12037.670869344745,12711.71145549374
2024-10-02,21849.33203454276,12006.688691481844,12711.71145549374
2024-10-03,21886.593423504553,12027.164644557626,12711.71145549374
2024-10-04,22366.920575093747,12291.11498272266,12711.71145549374
2024-10-05,22356.83337707644,12285.571845469234,12711.71145549374
2024-10-06,22631.316842839573,12436.406549210596,12711.71145549374
2024-10-07,22416.6360510362,12318.434730614548,12711.71145549374
2024-10-08,22393.75612439051,12305.861707508651,12711.71145549374
2024-10-09,21844.55502576742,12004.063620053972,12711.71145549374
2024-10-10,21733.00862854959,11942.766420490456,12711.71145549374
2024-10-11,22530.47728580297,12380.992993903219,12711.71145549374
2024-10-12,22770.487752341945,12512.884026080996,12711.71145549374
2024-10-13,22649.36932471983,12446.326785202353,12711.71145549374
2024-10-14,23807.224746565887,13082.593815145034,12711.71145549374
2024-10-15,24163.93328645296,13278.613006269325,12711.71145549374
2024-10-16,24360.586814371112,13386.678446716749,12711.71145549374
2024-10-17,24289.17305497929,13347.435014654367,12711.71145549374
2024-10-18,24651.670926014158,13546.635570623752,12711.71145549374
2024-10-19,24633.65807241182,13536.737111242634,12711.71145549374
2024-10-20,24869.26259495967,13666.206980255789,12711.71145549374
2024-10-21,24273.22087182906,13338.66893902645,12711.71145549374
2024-10-22,24290.693339823327,13348.270444626134,12711.71145549374
2024-10-23,24017.85264630873,13198.338480380327,12711.71145549374
2024-10-24,24568.912671423583,13501.15808884314,12711.71145549374
2024-10-25,24028.54507620708,13204.214205868962,12711.71145549374
2024-10-26,24170.64127313447,13282.299192542852,12711.71145549374
2024-10-27,24505.29847764157,13466.200689692781,12711.71145549374
2024-10-28,25204.380928518985,13850.361877965874,12711.71145549374
2024-10-29,26203.809700361762,14399.569977959736,12711.71145549374
2024-10-30,26062.7042103825,14322.029406551806,12711.71145549374
2024-10-31,25323.193710879998,13915.65211604373,12711.71145549374
2024-11-01,25036.429081530794,13758.06864269632,12711.71145549374
2024-11-02,24992.74070640369,13734.060919313359,12711.71145549374
2024-11-03,24777.036784515705,13615.526868224462,12711.71145549374
2024-11-04,24443.445940941863,13432.211359869894,12711.71145549374
2024-11-05,24991.757204596997,13733.520463431147,12711.71145549374
2024-11-06,27225.343846145333,14960.92546730611,12711.71145549374
2024-11-07,27328.341343043492,15017.524858047345,12711.71145549374
2024-11-08,27563.18932574004,15146.578991766493,12711.71145549374
2024-11-09,27623.59723158084,15179.774465147015,12711.71145549374
2024-11-10,28953.864482967016,15910.785588902007,12711.71145549374
2024-11-11,31936.065320228474,17549.57056465626,12711.71145549374
2024-11-12,31685.333603225383,17411.78796945484,12711.71145549374
2024-11-13,32558.304937638317,17891.504925209498,12711.71145549374
2024-11-14,31459.661368153866,17287.776110944433,12711.71145549374
2024-11-15,32794.94700055366,18021.54494548301,12711.71145549374
2024-11-16,32634.578564932053,17933.418961612908,12711.71145549374
2024-11-17,32371.255863260933,17788.717343304088,12711.71145549374
2024-11-18,32590.32458620183,17909.100426605375,12711.71145549374
2024-11-19,33255.61492372126,18274.692105079488,12711.71145549374
2024-11-20,33967.400038959044,18665.833686908143,12711.71145549374
2024-11-21,35419.43778326774,19463.760375771377,12711.71145549374
2024-11-22,35626.54236884597,19577.568902351726,12711.71145549374
2024-11-23,35187.17284377777,19336.12568112748,12711.71145549374
2024-11-24,35269.18176365849,19381.191386997838,12711.71145549374
